visual,aural,read_write,kinesthetic,recurso
4,5,3,4,audio
3,4,1,8,actividad
4,4,2,6,actividad
3,5,5,3,audio
4,2,4,6,actividad
5,7,1,3,audio
2,3,8,3,texto
3,5,6,2,texto
8,2,3,3,video
4,2,5,5,texto
4,5,3,4,audio
1,4,5,6,actividad
3,4,5,4,texto
3,5,3,5,audio
3,2,6,5,texto
5,6,4,1,audio
2,5,4,5,audio
6,4,3,3,video
8,1,1,6,video
6,3,3,4,video
4,6,6,0,audio
4,4,4,4,video
6,5,2,3,video
5,6,3,2,audio
8,0,4,4,video
4,4,5,3,texto
4,6,4,2,audio
4,7,2,3,audio
3,6,4,3,audio
6,3,6,1,video
2,6,5,3,audio
3,4,2,7,actividad
5,2,5,4,video
2,4,4,6,actividad
4,3,4,5,actividad
4,3,3,6,actividad
4,8,2,2,audio
4,4,5,3,texto
4,4,6,2,texto
5,4,1,6,actividad
3,4,5,4,texto
5,2,1,8,actividad
6,3,5,2,video
7,4,3,2,video
3,3,7,3,texto
3,5,4,4,audio
9,5,1,1,video
5,2,6,3,texto
5,3,4,4,video
7,4,2,3,video
2,4,5,5,texto
5,7,1,3,audio
1,4,5,6,actividad
4,5,3,4,audio
3,6,4,3,audio
6,5,2,3,video
2,4,3,7,actividad
3,4,2,7,actividad
6,5,1,4,video
9,2,3,2,video
3,3,8,2,texto
6,3,4,3,video
3,3,3,7,actividad
5,1,3,7,actividad
7,3,3,3,video
5,4,2,5,video
9,1,4,2,video
3,2,4,7,actividad
5,4,3,4,video
5,1,7,3,texto
1,4,4,7,actividad
3,6,4,3,audio
4,4,3,5,actividad
9,3,2,2,video
5,4,5,2,video
7,1,5,3,video
3,4,3,6,actividad
6,1,6,3,video
4,6,3,3,audio
2,8,3,3,audio
1,6,4,5,audio
4,4,4,4,video
3,6,2,5,audio
3,7,2,4,audio
3,2,8,3,texto
2,7,4,3,audio
1,5,6,4,texto
3,5,2,6,actividad
5,4,3,4,video
3,7,2,4,audio
3,4,7,2,texto
2,5,5,4,audio
1,4,4,7,actividad
4,6,2,4,audio
3,4,5,4,texto
4,4,3,5,actividad
4,6,3,3,audio
7,4,3,2,video
1,4,4,7,actividad
6,5,3,2,video
5,5,3,3,video
7,1,6,2,video
3,1,5,7,actividad
3,3,7,3,texto
4,4,2,6,actividad
1,5,4,6,actividad
4,3,5,4,texto
7,6,2,1,video
6,1,3,6,video
6,5,0,5,video
3,5,5,3,audio
5,5,1,5,video
8,3,1,4,video
4,4,4,4,video
3,4,5,4,texto
7,5,2,2,video
3,4,4,5,actividad
4,6,3,3,audio
1,3,8,4,texto
4,3,3,6,actividad
3,8,0,5,audio
7,4,1,4,video
6,4,2,4,video
3,4,3,6,actividad
7,1,4,4,video
4,4,4,4,video
3,5,4,4,audio
3,6,4,3,audio
2,4,6,4,texto
5,2,4,5,video
7,6,2,1,video
4,4,5,3,texto
5,5,2,4,video
4,4,5,3,texto
5,3,5,3,video
6,4,3,3,video
3,7,4,2,audio
2,6,2,6,audio
3,6,5,2,audio
5,1,7,3,texto
2,5,4,5,audio
8,1,5,2,video
5,1,2,8,actividad
1,5,6,4,texto
5,3,3,5,video
